r,l,t
-99,2,8761.033489
-100,1,8765.213085
-86,4,8774.976162
-95,3,8782.785257
-86,4,8792.704969
-95,3,8800.350076
-70,5,8811.651326
-70,5,8822.905588
-45,6,8835.881263
-95,7,8850.648332
-95,3,8858.603853
40,8,8874.95391
-70,5,8886.146391
-99,2,8891.876458
-136,5,8903.093594
-136,5,8914.570712
-99,2,8920.276364
-99,2,8926.024311
185,10,8945.280861
-99,2,8951.159532
104,9,8969.351195
-150,2,8975.200626
-120,6,8988.632448
-70,5,9000.010402
-99,2,9005.855793
-99,2,9011.589076
-86,4,9021.258061
-99,2,9027.045485
-99,2,9032.792713
-86,4,9042.304478
-86,4,9051.851162
-149,3,9059.550248
-100,1,9063.372224
-99,2,9068.737245
-136,5,9079.98685
-99,2,9085.562002
-145,4,9094.916008
-99,2,9100.831467
-70,5,9112.479376
-100,1,9116.373444
-95,3,9123.893136
-136,5,9135.32606
-59,8,9152.115651
-136,5,9163.593143
-99,2,9169.50573
-95,3,9177.295966
-99,2,9182.969861
-70,5,9194.438147
-86,4,9203.628097
-95,3,9211.405984
-99,2,9217.120648
-95,3,9224.894496
-99,2,9230.307586
-100,1,9234.200215
-120,6,9247.424829
-59,8,9263.860442
-86,4,9272.991597
-99,2,9278.793795
-86,4,9288.458636
-99,2,9294.105469
-95,3,9301.817604
-95,7,9316.889596
-95,3,9324.314342
-86,4,9334.218079
-86,4,9344.078068
-149,3,9351.909329
-86,4,9361.248696
-99,2,9367.047918
-99,2,9372.852059
-95,3,9380.605661
-70,5,9391.791224
-100,1,9395.87626
-70,5,9407.231247
-70,5,9418.726096
-70,5,9430.251529
-70,5,9441.611662
-70,5,9453.098535
-99,2,9458.669119
-95,3,9466.319499
-86,4,9476.229587
-99,2,9481.992515
104,9,9500.484962
-120,6,9513.520498
-70,5,9524.581726
-45,6,9537.820279
-60,10,9558.134612
-99,2,9564.321369
-86,4,9573.5263
-100,1,9577.486101
-9,7,9592.139332
-86,4,9601.489
-99,2,9607.238774
-100,1,9611.103026
-100,1,9615.126572
-99,2,9621.035269
-100,1,9624.897791
-95,3,9632.724526
-100,1,9636.544919
-95,3,9644.013673
-186,6,9657.727723
-70,5,9669.080228
-70,5,9680.306467
-70,5,9691.91558
-70,5,9703.366795
-86,4,9712.830717
-59,8,9729.398868
-86,4,9739.088294
-100,1,9743.019295
-99,2,9748.692858
-45,6,9761.573123
-45,6,9774.699225
-45,6,9787.446915
-100,1,9791.543353
-9,7,9805.783866
-95,3,9813.730349
-86,4,9823.098009
-86,4,9832.705454
-86,4,9842.245156
-95,3,9849.792277
-95,7,9865.46185
-99,2,9870.950753
-95,3,9878.869915
-70,5,9890.17426
40,8,9906.377152
-99,2,9912.100196
-100,1,9916.159093
-136,5,9927.630464
-86,4,9937.234088
-86,4,9946.651225
-186,6,9960.00914
40,8,9976.312348
-86,4,9986.214719
-9,7,10000.77108
-100,1,10004.692723
-99,2,10010.74359
-86,4,10020.365232
-70,5,10031.860824
-95,3,10040.039093
-95,3,10047.765577
-86,4,10057.377999
-170,7,10072.429787
-70,5,10083.57829
-95,3,10091.484354
-86,4,10101.122476
-100,1,10105.181548
-100,1,10109.19347
-95,3,10117.086206
-99,2,10122.932417
-99,2,10128.932753
-99,2,10134.862619
-70,5,10146.461774
