r,l,t
-136,5,9878.342175
-100,1,9885.132867
-95,3,9898.056911
-95,3,9910.828294
-95,3,9923.849516
-100,1,9930.320215
-99,2,9940.287857
-100,1,9946.334285
-99,2,9956.232814
-149,3,9969.806321
-100,1,9976.653414
-99,2,9987.587032
-99,2,9997.498852
-95,3,10010.594481
-99,2,10021.149224
-99,2,10030.867637
-100,1,10038.172614
-100,1,10045.12435
-100,1,10052.90794
-100,1,10061.221923
-70,5,10081.246681
-95,7,10107.571476
-86,4,10126.291192
-99,2,10136.401295
-149,3,10150.538148
-70,5,10169.429042
-150,2,10179.844572
-100,1,10187.222469
-99,2,10198.28488
-100,1,10205.073333
-99,2,10216.504582
-100,1,10223.421951
-100,1,10230.824229
-95,3,10244.342532
-59,8,10273.45553
-100,1,10280.579061
-95,3,10295.813836
-95,3,10310.546349
104,9,10343.168103
-149,3,10358.782163
-99,2,10369.694789
-99,2,10380.248298
-86,4,10399.361499
-100,1,10406.355846
-86,4,10423.594059
-99,2,10434.036054
-149,3,10448.162587
-45,6,10470.559956
-70,5,10491.423972
-86,4,10508.060335
-100,1,10514.936592
-95,3,10528.595806
